Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年11月,109,35.4,11.4,8.39,<0.1(0.037),1.24
半屏山電信局,2022年11月,83,5.5,8.57,4.87,<0.1(0.040),2.19
勞工博物館,2022年11月,54,8.45,9.22,6.11,<0.1(0.042),1.5
環保局環境檢驗科,2022年11月,60,5.3,9.23,5.32,<0.1(0.026),1.65
岡山地政事務所,2022年11月,63,6.72,7.43,5.1,<0.1(0.057),2
