Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年04月,23,5.14,4.56,3.04,0.024,1.72
半屏山電信局,2022年04月,35,3.02,5.99,3.58,0.013,2.33
勞工博物館,2022年04月,23,3.31,5.74,3.66,0.013,1.96
環保局環境檢驗科,2022年04月,33,3.47,5.94,3.92,0.014,3
岡山地政事務所,2022年04月,40,3.8,6.54,5.03,0.019,4.1
