Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年08月,20,5.88,2.01,3.19,0.022,2.46
半屏山電信局,2022年08月,37,1.83,1.85,5.41,0.023,3.67
勞工博物館,2022年08月,18,2.9,2.7,4.95,0.027,2.63
環保局環境檢驗科,2022年08月,26,2.1,1.16,7.17,0.021,3.8
岡山地政事務所,2022年08月,25,2.37,1.53,3.9,0.024,4.07
