Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年06月,13,1.34,1.61,5.27,0.009,2.31
半屏山電信局,2022年06月,20,.92,2.01,4.6,0.013,1.53
勞工博物館,2022年06月,21,1.4,2.12,8.36,0.018,1.94
環保局環境檢驗科,2022年06月,24,1.45,2.12,6.68,0.02,3.67
岡山地政事務所,2022年06月,23,1.09,2.39,3.85,0.009,2.91
