Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年01月,75,9.25,14.9,6.94,0.042,2.13
半屏山電信局,2022年01月,140,4.54,14.4,8.389,0.092,5.17
勞工博物館,2022年01月,86,6.17,14.5,9.147,0.073,2.64
環保局環境檢驗科,2022年01月,90,4.5,13.2,8.498,0.062,2.86
