Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年03月,46,5.04,9.9,8.75,0.017,2.57
半屏山電信局,2022年03月,81,4.01,9.8,9.95,0.022,4.13
勞工博物館,2022年03月,57,4.1,11,7.2,0.114,2.29
環保局環境檢驗科,2022年03月,62,3.72,10.6,9.82,0.023,3.35
岡山地政事務所,2022年03月,64,3.12,8.6,5.12,0.03,3.83
