Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年02月,71,6.16,13.2,8.29,0.024,2.48
半屏山電信局,2022年02月,101,3.97,16,9.8,0.039,4.3
勞工博物館,2022年02月,83,3.55,11.4,7.15,0.025,2.51
環保局環境檢驗科,2022年02月,86,4.14,16.9,9.35,0.034,2.53
