Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年12月,70,11.8,8.5,4.21,<0.1(0.044),2.07
半屏山電信局,2022年12月,97,4.16,8.94,4.74,<0.1(0.036),3.8
勞工博物館,2022年12月,63,4.12,8.29,4.15,<0.1(0.036),2.19
環保局環境檢驗科,2022年12月,68,3.77,10.3,4.78,<0.1(0.034),2.79
岡山地政事務所,2022年12月,59,2.97,6.41,4.23,<0.1(0.047),3.34
