Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年07月,21,4.52,3,3.58,0.008,3.83
半屏山電信局,2022年07月,40,1.52,3.3,6.98,0.014,2.25
勞工博物館,2022年07月,21,2.03,3.46,6.06,0.008,1.94
環保局環境檢驗科,2022年07月,23,1.71,4.03,6.12,0.025,3.65
岡山地政事務所,2022年07月,21,1.98,2.52,3.22,0.009,2.37
