Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年10月,27,4.67,9.42,7.67,ND(0.014),3.93
半屏山電信局,2022年10月,43,1.4,10.3,8.41,ND(0.014),2.16
勞工博物館,2022年10月,27,1.5,8.76,7.68,ND(0.014),2.39
環保局環境檢驗科,2022年10月,32,1.58,9.69,8.86,ND(0.014),3.96
岡山地政事務所,2022年10月,31,2.45,8.86,8.03,ND(0.014),2.77
