Name,Date,TSP,Chloride,Nitrate,Sulfate,Lead,Dust
西子灣中山大學,2022年09月,69,8.67,4.81,5.6,0.028,2.02
半屏山電信局,2022年09月,111,4.89,6.35,8.33,0.021,3.31
勞工博物館,2022年09月,88,6.28,4.61,6,0.021,2.09
環保局環境檢驗科,2022年09月,79,5.68,4.48,4.64,0.02,3.63
岡山地政事務所,2022年09月,86,6.25,5.09,6.32,0.033,3.02
