科系,採計科目(含一階篩選方式、倍率、超篩)
文化資產與創意學系(A組),國、社*
文化資產與創意學系(B組),國*、社
傳播學系(數位媒體組),國、社
傳播學系(廣告公關組),國*、社
傳播學系(流行音樂傳播組),國、社*
"	
資訊應用學系(資訊系統與智慧應用組)",國、社
資訊應用學系(動畫與數位內容組),國、社
資訊應用學系(數位遊戲開發組),國
中國文學與應用學系,國、社*
"	
歷史學系(A組)",社
"	
歷史學系(B組)",國、社
外國語文學系,國*、英
社會學暨社會工作學系,國、英*、社*
心理學系,國、英、數A、數B
公共事務學系(國際與兩岸事務組),國*、社
公共事務學系(行政管理組),國、社*
管理學系(經營管理組),國*、社
"	
管理學系(行銷與創業組)",國、社*
管理學系(休閒事業管理組),國、社
應用經濟學系(財務金融組),國、社
應用經濟學系(國際商務組),國*、社
未來與樂活產業學系,國*、社
健康與創意蔬食產業學系,國
"	
產品與媒體設計學系(創意產品設計組)",國、社
產品與媒體設計學系(商業媒體設計組),國
