科系,採計科目(含一階篩選方式、倍率、超篩)
教育學系,國、英、數B*、社*
特殊教育學系,國、英、社
幼兒教育學系,國、英、社
心理與諮商學系,國、英、數B
學習與媒材設計學系,國、英、數B、社
中國語文學系,國、英、社
英語教學系,國、英、數B、英聽
英語教學系(公費生甲組),國、英、數B、英聽
英語教學系(公費生乙組),國、英、數B、英聽
社會暨公共事務學系,國、英、社
歷史與地理學系,國、英、數B、社
地球環境暨生物資源學系,國、英、數A*、自
應用物理暨化學系電子物理組,英、數A、自
應用物理暨化學系應用化學組,英、數A、自
數學系,英*、數A、自
資訊科學系,國、英、數A
城市發展學系,國、英、社、英聽
都會產業經營與行銷學系,國、英、數B
衛生福利學系,英、數A、自*
音樂學系,國、英、主修、副修、樂理、視唱、聽寫
音樂學系(公費生),國、英、主修、副修、樂理、視唱、聽寫
視覺藝術學系,國、英、素描、彩繪技法、創意表現
體育學系,國、英、體育
休閒體育管理學系,國、社、英聽
運動健康科學系,國、英、自、體育
