科系,採計科目(含一階篩選方式、倍率、超篩)
應用英語學系,國*、英、社*
運動與休閒學系,國、英*、社
企業管理學系,國、英、社
電子工程學系,國、英*、自
食品科學系,英、數A、自
土木與工程管理學系,國、英*、自
觀光管理學系,國、英*、社
資訊工程學系,國、英*、自
建築學系,國、英
國際暨大陸事務學系,國、英*、社
華語文學系,國、英、社
海洋與邊境管理學系,國、英*、社*
工業工程與管理學系,國、英*
護理學系,國、英、自*
長期照護學系,國、英*、社
社會工作學系,國、英、社
都市計畫與景觀學系,國、英、社
