科系,採計科目(含一階篩選方式、倍率、超篩)
數學系數學組,英、數A、自
數學系應用數學組,英、數A、自
化學系,英、數A、自
物理學系,*英、數A、自
生物科技系,*國、英、*數A、自
工業設計學系,國、英
電機工程學系,英、數A、自
電子工程學系,英、數A、自
軟體工程與管理學系,國、英、數A
工業科技教育學系科技教育與訓練組,*國、英、數A、自
工業科技教育學系能源與冷凍空調組,*國、英、數A、自
國文學系,國、英、社
英語學系,國、英、數B、社、英聽
地理學系,英、數B、社
特殊教育學系,國、英、數B
事業經營學系,*國、英、數B
音樂學系,"國、英、主修、副修、樂理、視唱、聽寫
"
美術學系,國、英、社、素描、彩繪技法、創意表現、水墨書畫、美術鑑賞
視覺設計學系,國、英、素描、彩繪技法、創意表現
體育學系,國、英、數B、自、體育
