科系,採計科目(含一階篩選方式、倍率、超篩)
中國語文學系,國、社
外國語文學系,國、英
社會政策與社會工作學系,國、英、社
公共行政與政策學系,國、英、數B、社
歷史學系,國、社
東南亞學系,英、惡
國際企業學系,英、社
經濟學系,英、數B
資訊管理學系,英、數B
財務金融學系,英、數B
觀光休閒與餐旅管理學系觀光休閒組,國、英
觀光休閒與餐旅管理學系餐旅管理組,國、英
管理學院學士班,英、數B
國際文教與比較教育學系,國、英
教育政策與行政學系,國、英
諮商心理與人力資源發展學系諮商心理組,英、數、社
諮商心理與人力資源發展學系終身學習與人力資源發展組,國、英、數B
教育學院學士班,國、英、社
資訊工程學系,英、數A
土木工程學系,數A、自
電機工程學系,國、英、數A、數B、自
應用化學系,英、數A、自
應用材料及光電工程學系,數A、自
科技學院學士班,數A、自
