科系,採計科目(含一階篩選方式、倍率、超篩)
新聞學系,國、英
廣播電視電影學系廣播組,國、英、社
廣播電視電影學系電視組,國、英、社
廣播電視電影學系電影組,國、英、社
圖文傳播暨數位出版學系,國、英
公共關係暨廣告學系,國、英、*社
口語傳播暨社群媒體學系,國、英
資訊傳播學系,國、英、*社
數位多媒體設計學系動畫設計組,國、英
數位多媒體設計學系遊戲設計組,國、英
傳播管理學系,國、英、*社
資訊管理學系資訊管理組,國、英、數B
資訊管理學系資訊科技組,國、英、數B
資訊管理學系智慧網路應用組,國、數B
財務金融學系,國、數B、社
行政管理學系,國、英、社
觀光學系餐旅經營管理組,*國、社
觀光學系旅遊暨休閒事業管理組,*國、社
觀光學系觀光規劃暨資源管理組,*國、社
經濟學系,*國、*英、數B
企業管理學系,國、*英、*社
社會心理學系,國、英、數A、數B
英語暨傳播應用學系,國、英
中國文學系,國、社
日本語文學系,國、*英、社
法律學系,國、*英、*社
