科系,採計科目(含一階篩選方式、倍率、超篩)
體育學系(一般組),國、英、數B
休閒運動學系(一般組),國、英、社
運動事業管理學系,國、英、社
運動健康科學學系,國、英、數A、數B、自
運動資訊與傳播學系,國、英、數B、社
體育學系(運動專長組),國、英、*數B
休閒運動學系(休閒運動組),國、英、社
