科系,採計科目(含一階篩選方式、倍率、超篩),,
機械與材料工程學系,國、英、數A、數B、自,,
化學工程與生物科技學系,*國、英、數A、數B、自,,
工程學院學士班,國、英、數A、數B、自,,
電機工程學系,英、數A、*自,,
資訊工程學系,國、英,,
事業經營學系,國、英、社,,
資訊經營學系,國、英、數B,,
應用外語學系,國、英、社,,
工業設計學系,國、英、數A、數B,,
媒體設計學系互動媒體設計組,國、英,,
媒體設計學系數位遊戲設計組,國、英、數B,,
,,,
