科系,採計科目(含一階篩選方式、倍率、超篩)
教育學系,國、英
諮商與輔導學系,國、英、數B、社
特殊教育學系,國、英、數B、社
幼兒教育學系,國、英、數B、社
文化與自然資源學系,國、英、數B、社
國語文學系,國、英、社
英語學系,國、英、數B、社
應用數學系,英、數A、自
數位學習科技學系,國、英、數A、自
材料科學系,英、數A、自
資訊工程學系,國、英、數A
資訊工程學系(APCS組),國、英、數A、APCS
電機工程學系,英、數A、自
綠色能源科技學系,國、英、數A
生物科技學系,國、英、數A、自
生態暨環境資源學系,國、英、數A
戲劇創作與應用學系,國、英、社
行政管理學系,國、英、數B、社
經營與管理學系,國、英、數B
音樂學系,國、英、主修、樂理、視唱、聽寫
視覺藝術與設計學系,國、英、素描、彩繪技法、創意表現
體育學系,國、英、數B、體育百分等級
