科系,採計科目(含一階篩選方式、倍率、超篩)
企業管理學系,國、數B
餐旅管理學系,國、英、數B
休閒保健學系,國、數B
智慧暨精緻農業學系,國、英
智慧能源工程學系,數A、自
數位設計學系,國
景觀與環境設計學系,國、英、數B
中華文化與傳播學系,國
應用外語學系,國、英
