科系,採計科目(含一階篩選方式、倍率、超篩)
英國語文學系,國、英、英聽
西班牙語文學系,國、英、社
日本語文學系,國、英、社
中國文學系,國、英、社
社會工作與兒童少年福利學系,國、英
台灣文學系,國、社
法律學系,國、英、社
生態人文學系,國、英
大眾傳播學系,國、英
財務工程學系,國、英、數B
應用化學系,國、自
食品營養學系營養與保健組,國、英、自
食品營養學系食品與生物技術組,國、英、自
化粧品科學系,國、英
資料科學暨大數據分析與應用學系,國、數B
企業管理學系,國、英、數B
國際企業學系,國、英
會計學系,國、英
觀光事業學系,國、英、數B
財務金融學系,國、英
資訊管理學系,國、英
資訊工程學系,國、英、數B
資訊工程學系（APCS組）,英、數B、APCS
資訊傳播工程學系,國、英、數B
資訊傳播工程學系（APCS組）,國、數B、APCS
寰宇管理學士學位學程,國、英
寰宇外語教育學士學位學程,國、英、英聽
