科系,採計科目(含一階篩選方式、倍率、超篩)
中國文學系,國、社
歷史學系,國、英、社
哲學系,國、英
政治學系,國、英、社
社會學系,國、英、社
社會工作學系,*國、*英、數B、社
英文學系,國、社
日本語文學系,國、英、社
德國文化學系,國、社
數學系,數A
物理學系,*英、數A、自
化學系,數A、自
微生物學系,英、自
心理學系,國、英、數A
法律學系,國、英、數A、數B、社、英聽
經濟學系,英、數B
會計學系,國、英、數B
企業管理學系,英、數B
國際經營與貿易學系,國、英、數B
財務工程與精算數學系,*國、英、數B
資訊管理學系,英、數B
資料科學系,英、數B
音樂學系,國、英、主修
